Significant,What happened category,Why it happened category,Province,Company,Substance,Release Type,Pipeline or Facility Type,Approximate Volume Released (m3),Year,Latitude,Longitude,Emergency Level,Population Density,Land Use
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Other Causes,Maintenance,Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2012,53.5467,-113.35465,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Defect and Deterioration,Maintenance,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,Gas,Unknown,0.0,2013,45.897931,-64.368366,Level I,Buildings greater than 4 stories above ground,Unknown Land Use (Historical Data Migration)
0,Defect and Deterioration,Maintenance,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,Gas,Unknown,0.0,2013,46.087971,-64.77714,Level I,Buildings greater than 4 stories above ground,Unknown Land Use (Historical Data Migration)
0,Defect and Deterioration,Maintenance,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,Gas,Unknown,0.0,2013,46.087971,-64.77714,Level I,Buildings greater than 4 stories above ground,Unknown Land Use (Historical Data Migration)
0,Incorrect Operation,Engineering and Planning,Northwest Territories,Enbridge Pipelines (NW) Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,63.08805,-123.2205611,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,"External Interference, Incorrect Operation","Engineering and Planning, Human Factors",Alberta,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,53.547403,-113.355714,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Defect and Deterioration,Maintenance,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,Gas,Unknown,0.3,2013,45.279238,-66.006686,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Defect and Deterioration,Maintenance,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,Gas,Unknown,0.0,2013,45.271448,-67.03329,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Corrosion and Cracking,Tools and Equipment,Alberta,NOVA Gas Transmission Ltd.,Natural Gas - Sweet,Gas,Unknown,0.0,2013,50.457417,-110.196855,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Defect and Deterioration,Maintenance,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Natural Gas - Sweet,Gas,Unknown,0.3,2013,45.1291,-66.819134,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Equipment Failure,Maintenance,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,Gas,Unknown,0.85,2013,45.156922,-66.769837,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,External Interference,Maintenance,Saskatchewan,TransCanada PipeLines Limited,Natural Gas - Sweet,Gas,Unknown,5000.0,2013,50.480661,-105.867038,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
1,"Equipment Failure, External Interference, Incorrect Operation",Standards and Procedures,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Natural Gas - Sour,Gas,Unknown,0.0001,2013,59.20186,-121.596498,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
1,Defect and Deterioration,Maintenance,British Columbia,Trans Mountain Pipeline ULC,Crude Oil - Sweet,Liquid,Unknown,17.8,2013,49.615781,-121.034754,Level III,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Quebec,Trans-Northern Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,45.625321,-73.537743,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,Equipment Failure,"Engineering and Planning, Inadequate Procurement",New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Natural Gas - Sweet,Gas,Unknown,0.0001,2013,45.828977,-66.578676,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,"External Interference, Incorrect Operation","Human Factors, Inadequate Supervision",Alberta,TransCanada Keystone Pipeline GP Ltd.,Crude Oil - Sweet,Liquid,Unknown,1.59,2013,52.653959,-111.268469,Level I,Unknown Population Density (Historical Data Migration),Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
0,External Interference,Engineering and Planning,Saskatchewan,Enbridge Pipelines Inc.,Not Applicable,Not Applicable,Unknown,0.0,2013,49.753998,-101.238688,Level I,11 to 45 dwelling units,Unknown Land Use (Historical Data Migration)
